Microsoft Windows | системное ПО | операционная система | 27990 тенге| 1985 год
Linux | системное ПО | операционная система | 35000 тенге | 1991 год
Mac | системное ПО | операционная система | 816 990 тенге | 2001 год
Avast Antivirus | системное ПО | анитиврус | 5990 тенге | 1988 год
McAfee VirusScan | системное ПО | антивирус | 10000 тенге | 1988 год
Microsoft Word | прикладное ПО | обработка текста |  | 1983 год
Open Office Writer | прикладное ПО | обработка текста | 15000 тенге | 2002 год
WordPerfect | прикладное ПО | обработка текста | 181100 тенге| 1979 год
Microsoft Excel | прикладное ПО | обработка чисел | 76990 тенге | 1985 год
MySQL | прикладное ПО | обработка данных | 22400 тенге | 1995 год
Microsoft Access | прикладное ПО | обработка данных | 82300 тенге | 1992 год
Microsoft PowerPoint | прикладное ПО | для презентаций | 16959 тенге | 1987 год
Open Office Impress | прикладное ПО | для презентаций | 15064 тенге | 2002 год
Corel Draw | прикладное ПО | обработка изображений | 208985 тенге | 1989 год
Adobe Illustrator | прикладное ПО| обработка изображений | 242690  тенге | 1987 год
Intel C++ compiler | инструментальное ПО | компилятор | 165500 тенге | 2003 год
Free Pascal Compiler (FPS) | инструментальное ПО | компилятор | 0 тенге | 1997 год
Notepad++ | инструментальное ПО | текстовый редактор | 0 тенге | 2004 год
Microsoft Visual Studio | инструментальное ПО | среда разработки | 63970 тенге | 1997 год0



